0.258 2.710 0.230
0.259 2.695 0.231
0.260 2.681 0.232
0.261 2.666 0.234
0.262 2.652 0.235
0.263 2.638 0.236
0.264 2.623 0.237
0.265 2.609 0.238
0.266 2.594 0.240
0.267 2.579 0.241
0.268 2.565 0.242
0.269 2.550 0.244
0.270 2.535 0.245
0.271 2.521 0.246
0.272 2.506 0.248
0.273 2.491 0.249
0.274 2.476 0.251
0.275 2.462 0.252
0.276 2.447 0.253
0.277 2.432 0.255
0.278 2.417 0.256
0.279 2.402 0.258
0.280 2.387 0.259
0.281 2.372 0.261
0.282 2.356 0.263
0.283 2.341 0.264
0.284 2.326 0.266
0.285 2.311 0.267
0.286 2.296 0.269
0.287 2.280 0.271
0.288 2.265 0.272
0.289 2.250 0.274
0.290 2.235 0.276
0.291 2.219 0.278
0.292 2.204 0.280
0.293 2.188 0.281
0.294 2.173 0.283
0.295 2.157 0.285
0.296 2.142 0.287
0.297 2.126 0.289
0.298 2.110 0.291
0.299 2.095 0.293
0.300 2.079 0.295
0.301 2.063 0.297
0.302 2.048 0.299
0.303 2.032 0.301
0.304 2.016 0.303
0.305 2.000 0.305
0.306 1.984 0.308
0.307 1.968 0.310
0.308 1.953 0.312
0.309 1.937 0.315
0.310 1.921 0.317
0.311 1.905 0.319
0.312 1.889 0.322
0.313 1.873 0.324
0.314 1.857 0.327
0.315 1.841 0.329
0.316 1.824 0.332
0.317 1.808 0.335
0.318 1.792 0.337
0.319 1.776 0.340
0.320 1.760 0.343
0.321 1.743 0.346
0.322 1.727 0.349
0.323 1.711 0.351
0.324 1.695 0.354
0.325 1.678 0.357
0.326 1.662 0.360
0.327 1.646 0.364
0.328 1.629 0.367
0.329 1.613 0.370
0.330 1.597 0.373
0.331 1.580 0.377
0.332 1.564 0.380
0.333 1.547 0.383
0.334 1.531 0.387
0.335 1.514 0.390
0.336 1.498 0.394
0.337 1.482 0.398
0.338 1.465 0.402
0.339 1.449 0.405
0.340 1.432 0.409
0.341 1.416 0.413
0.342 1.399 0.417
0.343 1.382 0.421
0.344 1.366 0.425
0.345 1.349 0.429
0.346 1.333 0.433
0.347 1.316 0.437
0.348 1.300 0.442
0.349 1.283 0.446
0.350 1.267 0.450
0.351 1.250 0.455
0.352 1.234 0.460
0.353 1.218 0.465
0.354 1.201 0.470
0.355 1.185 0.474
0.356 1.169 0.480
0.357 1.153 0.485
0.358 1.137 0.491
0.359 1.121 0.496
0.360 1.104 0.501
0.361 1.089 0.507
0.362 1.073 0.513
0.363 1.057 0.518
0.364 1.041 0.524
0.365 1.025 0.530
0.366 1.009 0.536
0.367 0.994 0.542
